accession_no,form_type,cik,name,filed_at,report_date,series_id,filing_url
0001145549-20-073785,N-MFP2,889512,LEGG MASON PARTNERS INSTITUTIONAL TRUST,2020-12-07,2020-11-30,,https://www.sec.gov/Archives/edgar/data/889512/000114554920073785/0001145549-20-073785-index.htm
0000035315-20-000152,N-MFP2,35315,FIDELITY SALEM STREET TRUST,2020-12-07,2020-11-30,,https://www.sec.gov/Archives/edgar/data/35315/000003531520000152/0000035315-20-000152-index.htm
0000356173-20-000170,N-MFP2,356173,Fidelity Colchester Street Trust,2020-12-07,2020-11-30,,https://www.sec.gov/Archives/edgar/data/356173/000035617320000170/0000356173-20-000170-index.htm
0000742212-20-000055,N-MFP2,742212,NORTHWESTERN MUTUAL SERIES FUND INC,2020-12-07,2020-11-30,,https://www.sec.gov/Archives/edgar/data/742212/000074221220000055/0000742212-20-000055-index.htm
0001004726-20-000284,N-MFP2,1091439,ALLIANZ VARIABLE INSURANCE PRODUCTS TRUST,2020-12-07,2020-11-30,,https://www.sec.gov/Archives/edgar/data/1091439/000100472620000284/0001004726-20-000284-index.htm
0000356173-20-000169,N-MFP2,356173,Fidelity Colchester Street Trust,2020-12-07,2020-11-30,,https://www.sec.gov/Archives/edgar/data/356173/000035617320000169/0000356173-20-000169-index.htm
0000878663-20-000047,N-MFP2,878663,FIDELITY NEW YORK MUNICIPAL TRUST II,2020-12-07,2020-11-30,,https://www.sec.gov/Archives/edgar/data/878663/000087866320000047/0000878663-20-000047-index.htm
0000880799-20-000072,N-MFP2,880799,FIDELITY MUNICIPAL TRUST II,2020-12-07,2020-11-30,,https://www.sec.gov/Archives/edgar/data/880799/000088079920000072/0000880799-20-000072-index.htm
0001145549-20-073835,N-MFP2,1094885,STATE STREET MASTER FUNDS,2020-12-07,2020-11-30,,https://www.sec.gov/Archives/edgar/data/1094885/000114554920073835/0001145549-20-073835-index.htm
0001145549-20-073839,N-MFP2,1107414,STATE STREET INSTITUTIONAL INVESTMENT TRUST,2020-12-07,2020-11-30,,https://www.sec.gov/Archives/edgar/data/1107414/000114554920073839/0001145549-20-073839-index.htm
0001145549-20-073923,N-MFP2,857156,CHARLES SCHWAB FAMILY OF FUNDS,2020-12-07,2020-11-30,,https://www.sec.gov/Archives/edgar/data/857156/000114554920073923/0001145549-20-073923-index.htm
0001145549-20-073948,N-MFP2,1060517,UBS Series Funds,2020-12-07,2020-11-30,,https://www.sec.gov/Archives/edgar/data/1060517/000114554920073948/0001145549-20-073948-index.htm
0001145549-20-073966,N-MFP2,858372,CASH ACCOUNT TRUST,2020-12-07,2020-11-30,,https://www.sec.gov/Archives/edgar/data/858372/000114554920073966/0001145549-20-073966-index.htm
