accession_no,form_type,cik,name,filed_at,report_date,series_id,filing_url
0001145549-19-038031,N-MFP2,915092,MASTER INVESTMENT PORTFOLIO,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/915092/000114554919038031/0001145549-19-038031-index.htm
0001098992-19-000026,N-MFP2,1027263,EQ ADVISORS TRUST,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/1027263/000109899219000026/0001098992-19-000026-index.htm
0001145549-19-037988,N-MFP2,857156,CHARLES SCHWAB FAMILY OF FUNDS,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/857156/000114554919037988/0001145549-19-037988-index.htm
0001145549-19-038014,N-MFP2,1060517,UBS Series Funds,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/1060517/000114554919038014/0001145549-19-038014-index.htm
0001145549-19-037764,N-MFP2,783401,VANGUARD CALIFORNIA TAX-FREE FUNDS,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/783401/000114554919037764/0001145549-19-037764-index.htm
0001145549-19-037828,N-MFP2,717316,AMERICAN CENTURY CALIFORNIA TAX FREE & MUNICIPAL FUNDS,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/717316/000114554919037828/0001145549-19-037828-index.htm
0001145549-19-037843,N-MFP2,853437,"T. Rowe Price U.S. Treasury Funds, Inc.",2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/853437/000114554919037843/0001145549-19-037843-index.htm
0001718745-19-000277,N-MFP2,763852,JPMORGAN TRUST II,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/763852/000171874519000277/0001718745-19-000277-index.htm
0000878662-19-000038,N-MFP2,878662,FIDELITY CALIFORNIA MUNICIPAL TRUST II,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/878662/000087866219000038/0000878662-19-000038-index.htm
0001258897-19-001720,N-MFP2,856517,MONEY MARKET OBLIGATIONS TRUST,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/856517/000125889719001720/0001258897-19-001720-index.htm
0001145549-19-037906,N-MFP2,710124,NORTHERN INSTITUTIONAL FUNDS,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/710124/000114554919037906/0001145549-19-037906-index.htm
0001145549-19-037840,N-MFP2,1034386,"T. Rowe Price Reserve Investment Funds, Inc.",2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/1034386/000114554919037840/0001145549-19-037840-index.htm
0001718745-19-000283,N-MFP2,763852,JPMORGAN TRUST II,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/763852/000171874519000283/0001718745-19-000283-index.htm
0000803013-19-000019,N-MFP2,803013,FIDELITY GARRISON STREET TRUST,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/803013/000080301319000019/0000803013-19-000019-index.htm
0001145549-19-037882,N-MFP2,1107414,STATE STREET INSTITUTIONAL INVESTMENT TRUST,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/1107414/000114554919037882/0001145549-19-037882-index.htm
0001145549-19-037996,N-MFP2,1403166,Master Trust,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/1403166/000114554919037996/0001145549-19-037996-index.htm
0001145549-19-038000,N-MFP2,1060517,UBS Series Funds,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/1060517/000114554919038000/0001145549-19-038000-index.htm
0001145549-19-038001,N-MFP2,1060517,UBS Series Funds,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/1060517/000114554919038001/0001145549-19-038001-index.htm
0001145549-19-038051,N-MFP2,863209,INVESTORS CASH TRUST,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/863209/000114554919038051/0001145549-19-038051-index.htm
0001004726-19-000205,N-MFP2,908695,USAA MUTUAL FUNDS TRUST,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/908695/000100472619000205/0001004726-19-000205-index.htm
0001258897-19-001716,N-MFP2,856517,MONEY MARKET OBLIGATIONS TRUST,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/856517/000125889719001716/0001258897-19-001716-index.htm
0001145549-19-037860,N-MFP2,774412,PLAN INVESTMENT FUND INC,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/774412/000114554919037860/0001145549-19-037860-index.htm
0001145549-19-037915,N-MFP2,1140869,MASTER PORTFOLIO TRUST,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/1140869/000114554919037915/0001145549-19-037915-index.htm
0001580642-19-004616,N-MFP2,1029068,ADVISORONE FUNDS,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/1029068/000158064219004616/0001580642-19-004616-index.htm
0001718745-19-000274,N-MFP2,1659326,JPMORGAN TRUST IV,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/1659326/000171874519000274/0001718745-19-000274-index.htm
0001718745-19-000275,N-MFP2,1217286,JPMorgan Trust I,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/1217286/000171874519000275/0001718745-19-000275-index.htm
0001145549-19-037829,N-MFP2,773674,AMERICAN CENTURY GOVERNMENT INCOME TRUST,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/773674/000114554919037829/0001145549-19-037829-index.htm
0001145549-19-037953,N-MFP2,1227155,MORGAN STANLEY INSTITUTIONAL LIQUIDITY FUNDS,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/1227155/000114554919037953/0001145549-19-037953-index.htm
0000356173-19-000150,N-MFP2,356173,Fidelity Colchester Street Trust,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/356173/000035617319000150/0000356173-19-000150-index.htm
0000878662-19-000039,N-MFP2,878662,FIDELITY CALIFORNIA MUNICIPAL TRUST II,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/878662/000087866219000039/0000878662-19-000039-index.htm
0001145549-19-037772,N-MFP2,788606,VANGUARD PENNSYLVANIA TAX-FREE FUNDS,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/788606/000114554919037772/0001145549-19-037772-index.htm
0001145549-19-037834,N-MFP2,912029,"T. Rowe Price Summit Municipal Funds, Inc.",2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/912029/000114554919037834/0001145549-19-037834-index.htm
0001145549-19-037874,N-MFP2,855630,ELFUN GOVERNMENT MONEY MARKET FUND,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/855630/000114554919037874/0001145549-19-037874-index.htm
0001145549-19-037876,N-MFP2,787441,MAINSTAY FUNDS,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/787441/000114554919037876/0001145549-19-037876-index.htm
0001145549-19-037939,N-MFP2,747576,LEGG MASON PARTNERS MONEY MARKET TRUST,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/747576/000114554919037939/0001145549-19-037939-index.htm
0001145549-19-037959,N-MFP2,315812,MORGAN STANLEY TAX FREE DAILY INCOME TRUST,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/315812/000114554919037959/0001145549-19-037959-index.htm
0001145549-19-038007,N-MFP2,1060517,UBS Series Funds,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/1060517/000114554919038007/0001145549-19-038007-index.htm
0001145549-19-038073,N-MFP2,828806,AIM TREASURER'S SERIES TRUST (INVESCO TREASURER'S SERIES TRUST),2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/828806/000114554919038073/0001145549-19-038073-index.htm
0001145549-19-037861,N-MFP2,822977,GOLDMAN SACHS TRUST,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/822977/000114554919037861/0001145549-19-037861-index.htm
0001145549-19-037932,N-MFP2,747576,LEGG MASON PARTNERS MONEY MARKET TRUST,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/747576/000114554919037932/0001145549-19-037932-index.htm
0001718745-19-000281,N-MFP2,1217286,JPMorgan Trust I,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/1217286/000171874519000281/0001718745-19-000281-index.htm
0001145549-19-038018,N-MFP2,1060517,UBS Series Funds,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/1060517/000114554919038018/0001145549-19-038018-index.htm
0001258897-19-001711,N-MFP2,856517,MONEY MARKET OBLIGATIONS TRUST,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/856517/000125889719001711/0001258897-19-001711-index.htm
0001258897-19-001724,N-MFP2,856517,MONEY MARKET OBLIGATIONS TRUST,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/856517/000125889719001724/0001258897-19-001724-index.htm
0001145549-19-037916,N-MFP2,1140869,MASTER PORTFOLIO TRUST,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/1140869/000114554919037916/0001145549-19-037916-index.htm
0001145549-19-037955,N-MFP2,1227155,MORGAN STANLEY INSTITUTIONAL LIQUIDITY FUNDS,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/1227155/000114554919037955/0001145549-19-037955-index.htm
0001145549-19-037971,N-MFP2,701939,SEI DAILY INCOME TRUST /MA/,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/701939/000114554919037971/0001145549-19-037971-index.htm
0001145549-19-038010,N-MFP2,1060517,UBS Series Funds,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/1060517/000114554919038010/0001145549-19-038010-index.htm
0001145549-19-038071,N-MFP2,842790,AIM INVESTMENT SECURITIES FUNDS (INVESCO INVESTMENT SECURITIES FUNDS),2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/842790/000114554919038071/0001145549-19-038071-index.htm
0001003715-19-000260,N-MFP2,812195,PIONEER MONEY MARKET TRUST,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/812195/000100371519000260/0001003715-19-000260-index.htm
0001145549-19-037813,N-MFP2,778202,PNC FUNDS,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/778202/000114554919037813/0001145549-19-037813-index.htm
0001258897-19-001726,N-MFP2,856517,MONEY MARKET OBLIGATIONS TRUST,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/856517/000125889719001726/0001258897-19-001726-index.htm
0001145549-19-037770,N-MFP2,821404,VANGUARD NEW JERSEY TAX-FREE FUNDS,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/821404/000114554919037770/0001145549-19-037770-index.htm
0001258897-19-001706,N-MFP2,856517,MONEY MARKET OBLIGATIONS TRUST,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/856517/000125889719001706/0001258897-19-001706-index.htm
0001258897-19-001712,N-MFP2,856517,MONEY MARKET OBLIGATIONS TRUST,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/856517/000125889719001712/0001258897-19-001712-index.htm
0001145549-19-037892,N-MFP2,814679,ADVANCED SERIES TRUST,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/814679/000114554919037892/0001145549-19-037892-index.htm
0001145549-19-037937,N-MFP2,889512,LEGG MASON PARTNERS INSTITUTIONAL TRUST,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/889512/000114554919037937/0001145549-19-037937-index.htm
0001145549-19-038011,N-MFP2,1060517,UBS Series Funds,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/1060517/000114554919038011/0001145549-19-038011-index.htm
0001145549-19-038019,N-MFP2,930007,PACE SELECT ADVISORS TRUST,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/930007/000114554919038019/0001145549-19-038019-index.htm
0000880799-19-000062,N-MFP2,880799,FIDELITY MUNICIPAL TRUST II,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/880799/000088079919000062/0000880799-19-000062-index.htm
0001145549-19-037788,N-MFP2,719269,MFS VARIABLE INSURANCE TRUST II,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/719269/000114554919037788/0001145549-19-037788-index.htm
0001145549-19-037881,N-MFP2,1107414,STATE STREET INSTITUTIONAL INVESTMENT TRUST,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/1107414/000114554919037881/0001145549-19-037881-index.htm
0001145549-19-037889,N-MFP2,1094885,STATE STREET MASTER FUNDS,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/1094885/000114554919037889/0001145549-19-037889-index.htm
0001145549-19-037921,N-MFP2,889512,LEGG MASON PARTNERS INSTITUTIONAL TRUST,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/889512/000114554919037921/0001145549-19-037921-index.htm
0001145549-19-037965,N-MFP2,1454975,American Funds U.S. Government Money Market Fund,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/1454975/000114554919037965/0001145549-19-037965-index.htm
0001145549-19-037969,N-MFP2,356409,MORGAN STANLEY US GOVERNMENT MONEY MARKET TRUST,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/356409/000114554919037969/0001145549-19-037969-index.htm
0001145549-19-037984,N-MFP2,857156,CHARLES SCHWAB FAMILY OF FUNDS,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/857156/000114554919037984/0001145549-19-037984-index.htm
0001145549-19-038028,N-MFP2,893818,BlackRock Funds III,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/893818/000114554919038028/0001145549-19-038028-index.htm
0001145549-19-038030,N-MFP2,915092,MASTER INVESTMENT PORTFOLIO,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/915092/000114554919038030/0001145549-19-038030-index.htm
0001145549-19-038045,N-MFP2,703642,DEUTSCHE DWS MONEY MARKET TRUST,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/703642/000114554919038045/0001145549-19-038045-index.htm
0001145549-19-037767,N-MFP2,106830,VANGUARD MONEY MARKET RESERVES,2019-10-07,2019-09-30,S000004462,https://www.sec.gov/Archives/edgar/data/106830/000114554919037767/0001145549-19-037767-index.htm
0001145549-19-037771,N-MFP2,788599,VANGUARD NEW YORK TAX-FREE FUNDS,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/788599/000114554919037771/0001145549-19-037771-index.htm
0001145549-19-037891,N-MFP2,1094885,STATE STREET MASTER FUNDS,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/1094885/000114554919037891/0001145549-19-037891-index.htm
0001145549-19-037907,N-MFP2,710124,NORTHERN INSTITUTIONAL FUNDS,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/710124/000114554919037907/0001145549-19-037907-index.htm
0001145549-19-037917,N-MFP2,1140869,MASTER PORTFOLIO TRUST,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/1140869/000114554919037917/0001145549-19-037917-index.htm
0000356173-19-000145,N-MFP2,356173,Fidelity Colchester Street Trust,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/356173/000035617319000145/0000356173-19-000145-index.htm
0001022695-19-000079,N-MFP2,1022695,FIDELITY REVERE STREET TRUST,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/1022695/000102269519000079/0001022695-19-000079-index.htm
0001258897-19-001714,N-MFP2,856517,MONEY MARKET OBLIGATIONS TRUST,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/856517/000125889719001714/0001258897-19-001714-index.htm
0001145549-19-037797,N-MFP2,26262,JOHN HANCOCK CURRENT INTEREST,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/26262/000114554919037797/0001145549-19-037797-index.htm
0001145549-19-037824,N-MFP2,830744,WILMINGTON FUNDS,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/830744/000114554919037824/0001145549-19-037824-index.htm
0001145549-19-038025,N-MFP2,814079,Funds For Institutions Series,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/814079/000114554919038025/0001145549-19-038025-index.htm
0001003715-19-000262,N-MFP2,1342947,BBH Trust,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/1342947/000100371519000262/0001003715-19-000262-index.htm
0001145549-19-037993,N-MFP2,311635,LORD ABBETT US GOV & GOV SPONSORED ENTERPR MONEY MARKET FUND,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/311635/000114554919037993/0001145549-19-037993-index.htm
0001145549-19-038012,N-MFP2,1060517,UBS Series Funds,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/1060517/000114554919038012/0001145549-19-038012-index.htm
0001145549-19-038026,N-MFP2,1161852,MASTER INSTITUTIONAL MONEY MARKET LLC,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/1161852/000114554919038026/0001145549-19-038026-index.htm
0001145549-19-037831,N-MFP2,908406,AMERICAN CENTURY INVESTMENT TRUST,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/908406/000114554919037831/0001145549-19-037831-index.htm
0000278001-19-000023,N-MFP2,278001,FIDELITY PHILLIPS STREET TRUST,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/278001/000027800119000023/0000278001-19-000023-index.htm
0001145549-19-037950,N-MFP2,1227155,MORGAN STANLEY INSTITUTIONAL LIQUIDITY FUNDS,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/1227155/000114554919037950/0001145549-19-037950-index.htm
0001145549-19-038003,N-MFP2,1060517,UBS Series Funds,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/1060517/000114554919038003/0001145549-19-038003-index.htm
0001145549-19-038023,N-MFP2,814079,Funds For Institutions Series,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/814079/000114554919038023/0001145549-19-038023-index.htm
0001145549-19-038072,N-MFP2,909466,AIM TAX-EXEMPT FUNDS (INVESCO TAX-EXEMPT FUNDS),2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/909466/000114554919038072/0001145549-19-038072-index.htm
0000894189-19-006772,N-MFP2,356134,FIRST AMERICAN FUNDS INC,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/356134/000089418919006772/0000894189-19-006772-index.htm
0001004726-19-000214,N-MFP2,798290,HSBC FUNDS,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/798290/000100472619000214/0001004726-19-000214-index.htm
0001022695-19-000078,N-MFP2,1022695,FIDELITY REVERE STREET TRUST,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/1022695/000102269519000078/0001022695-19-000078-index.htm
0001145549-19-037912,N-MFP2,1011008,State Street Navigator Securities Lending Trust,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/1011008/000114554919037912/0001145549-19-037912-index.htm
0001145549-19-037910,N-MFP2,916620,NORTHERN FUNDS,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/916620/000114554919037910/0001145549-19-037910-index.htm
0001145549-19-037983,N-MFP2,857156,CHARLES SCHWAB FAMILY OF FUNDS,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/857156/000114554919037983/0001145549-19-037983-index.htm
0001145549-19-038005,N-MFP2,1060517,UBS Series Funds,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/1060517/000114554919038005/0001145549-19-038005-index.htm
0001145549-19-038013,N-MFP2,1060517,UBS Series Funds,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/1060517/000114554919038013/0001145549-19-038013-index.htm
0001145549-19-038048,N-MFP2,862064,GOVERNMENT CASH MANAGEMENT PORTFOLIO,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/862064/000114554919038048/0001145549-19-038048-index.htm
0000917286-19-000084,N-MFP2,917286,FIDELITY HEREFORD STREET TRUST,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/917286/000091728619000084/0000917286-19-000084-index.htm
0001145549-19-037998,N-MFP2,1403166,Master Trust,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/1403166/000114554919037998/0001145549-19-037998-index.htm
0000880709-19-000061,N-MFP2,880709,FIDELITY COURT STREET TRUST II,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/880709/000088070919000061/0000880709-19-000061-index.htm
0001145549-19-037787,N-MFP2,63068,MFS SERIES TRUST IV,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/63068/000114554919037787/0001145549-19-037787-index.htm
0001145549-19-037830,N-MFP2,908406,AMERICAN CENTURY INVESTMENT TRUST,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/908406/000114554919037830/0001145549-19-037830-index.htm
0001145549-19-037934,N-MFP2,850628,LEGG MASON PARTNERS PREMIUM MONEY MARKET TRUST,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/850628/000114554919037934/0001145549-19-037934-index.htm
0001004726-19-000219,N-MFP2,1039803,PROFUNDS,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/1039803/000100472619000219/0001004726-19-000219-index.htm
0001145549-19-037832,N-MFP2,746458,AMERICAN CENTURY MUNICIPAL TRUST,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/746458/000114554919037832/0001145549-19-037832-index.htm
0001145549-19-037842,N-MFP2,1034386,"T. Rowe Price Reserve Investment Funds, Inc.",2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/1034386/000114554919037842/0001145549-19-037842-index.htm
0001145549-19-037871,N-MFP2,822977,GOLDMAN SACHS TRUST,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/822977/000114554919037871/0001145549-19-037871-index.htm
0000793769-19-000032,N-MFP2,793769,HARBOR FUNDS,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/793769/000079376919000032/0000793769-19-000032-index.htm
0000357057-19-000043,N-MFP2,357057,FIDELITY MASSACHUSETTS MUNICIPAL TRUST,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/357057/000035705719000043/0000357057-19-000043-index.htm
0000356173-19-000144,N-MFP2,356173,Fidelity Colchester Street Trust,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/356173/000035617319000144/0000356173-19-000144-index.htm
0001258897-19-001708,N-MFP2,856517,MONEY MARKET OBLIGATIONS TRUST,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/856517/000125889719001708/0001258897-19-001708-index.htm
0001145549-19-037800,N-MFP2,1272950,RBC FUNDS TRUST,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/1272950/000114554919037800/0001145549-19-037800-index.htm
0001145549-19-037836,N-MFP2,795384,"T. Rowe Price State Tax-Free Funds, Inc.",2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/795384/000114554919037836/0001145549-19-037836-index.htm
0001145549-19-037868,N-MFP2,822977,GOLDMAN SACHS TRUST,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/822977/000114554919037868/0001145549-19-037868-index.htm
0001145549-19-037883,N-MFP2,1107414,STATE STREET INSTITUTIONAL INVESTMENT TRUST,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/1107414/000114554919037883/0001145549-19-037883-index.htm
0001145549-19-037905,N-MFP2,710124,NORTHERN INSTITUTIONAL FUNDS,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/710124/000114554919037905/0001145549-19-037905-index.htm
0001145549-19-038015,N-MFP2,1060517,UBS Series Funds,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/1060517/000114554919038015/0001145549-19-038015-index.htm
0000880797-19-000038,N-MFP2,880797,FIDELITY UNION STREET TRUST II,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/880797/000088079719000038/0000880797-19-000038-index.htm
0001145549-19-038074,N-MFP2,828806,AIM TREASURER'S SERIES TRUST (INVESCO TREASURER'S SERIES TRUST),2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/828806/000114554919038074/0001145549-19-038074-index.htm
0001145549-19-037835,N-MFP2,795384,"T. Rowe Price State Tax-Free Funds, Inc.",2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/795384/000114554919037835/0001145549-19-037835-index.htm
0001145549-19-037878,N-MFP2,933691,JNL SERIES TRUST,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/933691/000114554919037878/0001145549-19-037878-index.htm
0001098992-19-000024,N-MFP2,1392417,"MFS INSTITUTIONAL MONEY MARKET PORTFOLIO, A SERIES OF THE MFS SERIES TRUST XIV",2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/1392417/000109899219000024/0001098992-19-000024-index.htm
0001145549-19-037837,N-MFP2,795384,"T. Rowe Price State Tax-Free Funds, Inc.",2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/795384/000114554919037837/0001145549-19-037837-index.htm
0001145549-19-037909,N-MFP2,916620,NORTHERN FUNDS,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/916620/000114554919037909/0001145549-19-037909-index.htm
0001145549-19-037914,N-MFP2,1140869,MASTER PORTFOLIO TRUST,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/1140869/000114554919037914/0001145549-19-037914-index.htm
0001145549-19-037918,N-MFP2,747576,LEGG MASON PARTNERS MONEY MARKET TRUST,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/747576/000114554919037918/0001145549-19-037918-index.htm
0001145549-19-038033,N-MFP2,869663,Ready Assets U.S. Treasury Money Fund,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/869663/000114554919038033/0001145549-19-038033-index.htm
0001145549-19-038069,N-MFP2,842790,AIM INVESTMENT SECURITIES FUNDS (INVESCO INVESTMENT SECURITIES FUNDS),2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/842790/000114554919038069/0001145549-19-038069-index.htm
0001145549-19-037812,N-MFP2,778202,PNC FUNDS,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/778202/000114554919037812/0001145549-19-037812-index.htm
0001145549-19-037838,N-MFP2,920467,"T. Rowe Price Fixed Income Series, Inc.",2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/920467/000114554919037838/0001145549-19-037838-index.htm
0001145549-19-037997,N-MFP2,1403166,Master Trust,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/1403166/000114554919037997/0001145549-19-037997-index.htm
0001145549-19-038043,N-MFP2,703642,DEUTSCHE DWS MONEY MARKET TRUST,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/703642/000114554919038043/0001145549-19-038043-index.htm
0001064046-19-000012,N-MFP2,899148,RYDEX SERIES FUNDS,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/899148/000106404619000012/0001064046-19-000012-index.htm
0000880799-19-000063,N-MFP2,880799,FIDELITY MUNICIPAL TRUST II,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/880799/000088079919000063/0000880799-19-000063-index.htm
0000742212-19-000024,N-MFP2,742212,NORTHWESTERN MUTUAL SERIES FUND INC,2019-10-07,2019-09-30,,https://www.sec.gov/Archives/edgar/data/742212/000074221219000024/0000742212-19-000024-index.htm
